# # Spectral data for TWA28 G395H
# # Wavelength (nm), Flux (erg/s/cm2/nm), Flux Error (erg/s/cm2/nm), Best Fit Model (erg/s/cm2/nm), Blackbody Model (erg/s/cm2/nm)
# # Data extracted from retrieval outputs
# 
2.896932e+03	2.727583e-01	1.364956e-03	2.750756e-01	2.512134e-02
2.897597e+03	2.847530e-01	1.362242e-03	2.832311e-01	2.513638e-02
2.898262e+03	2.838131e-01	1.365293e-03	2.765394e-01	2.515142e-02
2.898927e+03	2.553128e-01	1.304804e-03	2.540850e-01	2.516646e-02
2.899592e+03	2.429658e-01	1.283984e-03	2.391316e-01	2.518150e-02
2.900257e+03	nan	nan	2.396422e-01	2.519653e-02
2.900922e+03	2.468367e-01	1.383711e-03	2.459025e-01	2.521155e-02
2.901587e+03	2.540253e-01	1.584083e-03	2.536462e-01	2.522657e-02
2.902252e+03	2.574563e-01	1.576793e-03	2.580539e-01	2.524158e-02
2.902917e+03	nan	nan	2.624534e-01	2.525660e-02
2.903582e+03	2.671403e-01	1.356797e-03	2.639529e-01	2.527160e-02
2.904247e+03	2.527019e-01	1.274550e-03	2.554211e-01	2.528660e-02
2.904912e+03	2.549126e-01	1.281312e-03	2.539340e-01	2.530160e-02
2.905577e+03	2.657137e-01	1.407716e-03	2.628998e-01	2.531659e-02
2.906242e+03	nan	nan	2.661770e-01	2.533158e-02
2.906907e+03	2.603492e-01	1.278780e-03	2.567399e-01	2.534656e-02
2.907572e+03	2.405762e-01	1.260008e-03	2.387850e-01	2.536154e-02
2.908237e+03	2.208381e-01	1.233408e-03	2.228171e-01	2.537652e-02
2.908902e+03	2.257560e-01	1.245383e-03	2.216359e-01	2.539149e-02
2.909567e+03	2.313633e-01	1.257827e-03	2.248928e-01	2.540645e-02
2.910232e+03	2.241585e-01	1.244824e-03	2.257311e-01	2.542141e-02
2.910897e+03	2.439074e-01	1.289643e-03	2.417558e-01	2.543637e-02
2.911562e+03	2.697109e-01	1.346692e-03	2.641381e-01	2.545132e-02
2.912227e+03	2.726773e-01	1.357987e-03	2.718893e-01	2.546626e-02
2.912892e+03	2.695607e-01	1.357016e-03	2.716028e-01	2.548121e-02
2.913557e+03	2.677239e-01	1.350867e-03	2.692898e-01	2.549614e-02
2.914222e+03	2.642350e-01	1.353872e-03	2.642398e-01	2.551108e-02
2.914887e+03	2.579045e-01	1.352868e-03	2.574601e-01	2.552600e-02
2.915552e+03	2.558896e-01	1.336644e-03	2.531867e-01	2.554093e-02
2.916217e+03	2.586665e-01	1.341315e-03	2.527892e-01	2.555585e-02
2.916882e+03	2.557395e-01	1.361228e-03	2.522107e-01	2.557076e-02
2.917547e+03	2.569335e-01	1.398463e-03	2.544725e-01	2.558567e-02
2.918212e+03	2.608058e-01	1.400977e-03	2.589798e-01	2.560057e-02
2.918877e+03	2.640623e-01	1.420437e-03	2.618773e-01	2.561547e-02
2.919542e+03	2.617385e-01	1.449612e-03	2.588524e-01	2.563037e-02
2.920207e+03	2.519896e-01	1.429608e-03	2.499335e-01	2.564526e-02
2.920872e+03	2.466373e-01	1.406577e-03	2.433285e-01	2.566014e-02
2.921537e+03	2.425894e-01	1.381166e-03	2.415950e-01	2.567502e-02
2.922202e+03	2.441230e-01	1.540864e-03	2.448911e-01	2.568990e-02
2.922867e+03	2.471993e-01	1.398619e-03	2.467915e-01	2.570477e-02
2.923532e+03	2.442984e-01	1.403272e-03	2.443390e-01	2.571964e-02
2.924197e+03	2.441391e-01	1.402600e-03	2.441364e-01	2.573450e-02
2.924862e+03	2.519948e-01	1.421576e-03	2.477958e-01	2.574935e-02
2.925527e+03	2.565705e-01	1.458913e-03	2.521439e-01	2.576420e-02
2.926192e+03	2.571871e-01	1.478530e-03	2.545022e-01	2.577905e-02
2.926857e+03	2.592127e-01	1.461733e-03	2.546461e-01	2.579389e-02
2.927522e+03	2.474900e-01	1.416320e-03	2.484758e-01	2.580873e-02
