# Wlen(nm) Transmission Continuum
1.921314443147196471e+03 9.229982755333091286e-04 1.216897140623027340e+00
1.921320942378607242e+03 1.079845566405697368e-03 1.221396466317707930e+00
1.921327676955140078e+03 1.296312034555708540e-03 1.226048138009136590e+00
1.921334185710509246e+03 1.566825267998175073e-03 1.230533608555319791e+00
1.921340851335397701e+03 1.886445643611236187e-03 1.235116779623784744e+00
1.921347428614434421e+03 2.253317033929627244e-03 1.239628894561245254e+00
1.921354025113578928e+03 2.665371568991556708e-03 1.244143917305492453e+00
1.921360671090295000e+03 3.121278789831721193e-03 1.248682406570889025e+00
1.921367198289566886e+03 3.620399817060833327e-03 1.253129633653435215e+00
1.921373913138002763e+03 4.163511682858623761e-03 1.257694226805296189e+00
1.921380411618168182e+03 4.752007155590188235e-03 1.262101621030651710e+00
1.921387114001475311e+03 5.385794832585352396e-03 1.266636891630957606e+00
1.921393653059059488e+03 6.063172135414827274e-03 1.271051462869997373e+00
1.921400285721145110e+03 6.779525899612271617e-03 1.275518963146515583e+00
1.921406894071580609e+03 7.528399765819366110e-03 1.279959817470072814e+00
1.921413456838211914e+03 8.302172998643497781e-03 1.284359902902044492e+00
1.921420134655642642e+03 9.092863487783793899e-03 1.288826767001964413e+00
1.921426632528602568e+03 9.892714960809284933e-03 1.293163243806305207e+00
1.921433369634978590e+03 1.069246249368066906e-02 1.297648951293081776e+00
1.921439872505405447e+03 1.148157240856517887e-02 1.301968641586196185e+00
1.921446539294727245e+03 1.224710730078276862e-02 1.306386972092673293e+00
1.921453112053532323e+03 1.297423972214908905e-02 1.310732838713933646e+00
1.921459708351464997e+03 1.364473899263540790e-02 1.315084150468045499e+00
1.921466351172894747e+03 1.423645906234534408e-02 1.319455917312086335e+00
1.921472876805073611e+03 1.472375888391120463e-02 1.323740568859445244e+00
1.921479589863404044e+03 1.507709320108110464e-02 1.328137959489136488e+00
1.921486086949833862e+03 1.526287182971840760e-02 1.332383918151564650e+00
1.921492785829464765e+03 1.524283489760714337e-02 1.336751504228133491e+00
1.921499325032511024e+03 1.497520122202133930e-02 1.341004957158751232e+00
1.921505952824463066e+03 1.442050433895070670e-02 1.345305935605461078e+00
1.921512562686118144e+03 1.354780397738929686e-02 1.349585164004987625e+00
1.921519119215924320e+03 1.234625710498066763e-02 1.353819896026156044e+00
1.921525799910565183e+03 1.083646184798883402e-02 1.358124620748719869e+00
1.921532296388702207e+03 9.082835275172257417e-03 1.362300777984489564e+00
1.921539025320492783e+03 7.201501934442631689e-03 1.366616116764707289e+00
1.921545533004873960e+03 5.349286400496371281e-03 1.370779657636895577e+00
1.921552190252341006e+03 3.697420563528608199e-03 1.375028814696797941e+00
1.921558769191668716e+03 2.383681323845344979e-03 1.379217991326158188e+00
1.921565354580242001e+03 1.472320862218016221e-03 1.383401330458742251e+00
