# Wlen(nm) Flux Flux_err
1.921314443147196471e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921320942378607242e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921327676955140078e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921334185710509246e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921340851335397701e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921347428614434421e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921354025113578928e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921360671090295000e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921367198289566886e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921373913138002763e+03 0.000000000000000000e+00 1.446628758600912868e-04
1.921380411618168182e+03 -1.232149249412541926e-04 1.446628758600912868e-04
1.921387114001475311e+03 5.368736951581784111e-04 1.446628758600912868e-04
1.921393653059059488e+03 -1.248509296558104485e-04 1.446628758600912868e-04
1.921400285721145110e+03 4.937715123807265511e-04 1.446628758600912868e-04
1.921406894071580609e+03 -7.634511910404928386e-05 1.446628758600912868e-04
1.921413456838211914e+03 1.120215408777657049e-03 1.446628758600912868e-04
1.921420134655642642e+03 1.841782056925296432e-04 1.446628758600912868e-04
1.921426632528602568e+03 -2.376803444574065961e-05 1.446628758600912868e-04
1.921433369634978590e+03 1.634903218640491613e-03 1.446628758600912868e-04
1.921439872505405447e+03 9.801425137125475799e-04 1.446628758600912868e-04
1.921446539294727245e+03 8.863460856905745235e-04 1.446628758600912868e-04
1.921453112053532323e+03 -5.574779273817788081e-04 1.446628758600912868e-04
1.921459708351464997e+03 -2.014970988255791046e-03 1.446628758600912868e-04
1.921466351172894747e+03 -7.074667689511906100e-04 1.446628758600912868e-04
1.921472876805073611e+03 9.680348797748579946e-04 1.446628758600912868e-04
1.921479589863404044e+03 3.527252874507771788e-04 1.446628758600912868e-04
1.921486086949833862e+03 -5.837126296415468115e-04 1.446628758600912868e-04
1.921492785829464765e+03 2.225332285933531414e-04 1.446628758600912868e-04
1.921499325032511024e+03 -6.305997340503143728e-04 1.446628758600912868e-04
1.921505952824463066e+03 1.694338398742575456e-04 1.446628758600912868e-04
1.921512562686118144e+03 -1.291790335155608687e-05 1.446628758600912868e-04
1.921519119215924320e+03 -3.877376818646593852e-05 1.446628758600912868e-04
1.921525799910565183e+03 -9.400567979561085105e-04 1.446628758600912868e-04
1.921532296388702207e+03 -1.722472345745823530e-04 1.446628758600912868e-04
1.921539025320492783e+03 -6.426454407063554803e-04 1.446628758600912868e-04
1.921545533004873960e+03 -3.968908274288858820e-04 1.446628758600912868e-04
1.921552190252341006e+03 -2.038049943748641846e-03 1.446628758600912868e-04
1.921558769191668716e+03 -1.346475768141961252e-04 1.446628758600912868e-04
1.921565354580242001e+03 1.166098823805236228e-04 1.446628758600912868e-04
1.921572004948998028e+03 2.079978739507677330e-04 1.446628758600912868e-04
1.921578518304077761e+03 -1.727140533771823888e-03 1.446628758600912868e-04
1.921585240276772538e+03 6.352314401190912270e-04 1.446628758600912868e-04
1.921591735966975648e+03 1.338786821821042220e-03 1.446628758600912868e-04
1.921598420630227793e+03 2.531303063284819055e-04 1.446628758600912868e-04
1.921604970685901208e+03 -1.117382472831289844e-03 1.446628758600912868e-04
1.921611582893157674e+03 -3.773140756182335846e-04 1.446628758600912868e-04
1.921618204975055050e+03 -6.815889961963726880e-05 1.446628758600912868e-04
1.921624744551611684e+03 4.074970636678761928e-04 1.446628758600912868e-04
1.921631438834347364e+03 6.600357289286305686e-04 1.446628758600912868e-04
1.921637933915168333e+03 -3.922671926692685774e-04 1.446628758600912868e-04
1.921644643953251489e+03 -4.157123202449369533e-04 1.446628758600912868e-04
1.921651167165166953e+03 -6.712143802442830558e-04 1.446628758600912868e-04
1.921657804149795993e+03 -1.624154938564635131e-03 1.446628758600912868e-04
1.921664399985086675e+03 -3.168849067089682392e-04 1.446628758600912868e-04
1.921670963741455807e+03 1.256586343248795238e-04 1.446628758600912868e-04
1.921677632374838367e+03 -3.741771883647092528e-04 1.446628758600912868e-04
1.921684126845802211e+03 -5.639917557425691260e-04 1.446628758600912868e-04
1.921690860216534475e+03 -2.047852606745734780e-04 1.446628758600912868e-04
1.921697358625814786e+03 -2.129599197673620343e-03 1.446628758600912868e-04
1.921704018345279565e+03 -7.797454560900976377e-04 1.446628758600912868e-04
1.921710589975441280e+03 -1.794985581861313281e-03 1.446628758600912868e-04
1.921717175868729782e+03 1.424976973236148138e-04 1.446628758600912868e-04
1.921723820894593018e+03 3.440748550371754881e-04 1.446628758600912868e-04
1.921730332786765985e+03 1.432813312076737511e-03 1.446628758600912868e-04
1.921737051383181097e+03 6.706795046214267643e-04 1.446628758600912868e-04
1.921743545064189902e+03 7.928736427191080067e-05 1.446628758600912868e-04
1.921750225474726903e+03 -4.527132781979932748e-04 1.446628758600912868e-04
1.921756774942464062e+03 -7.546552416120243505e-05 1.446628758600912868e-04
1.921763380928551442e+03 -8.393218204784212840e-05 1.446628758600912868e-04
1.921770004389955830e+03 -5.294049203493775757e-04 1.446628758600912868e-04
1.921776535776552009e+03 -2.978875078637558673e-04 1.446628758600912868e-04
1.921783233406576755e+03 6.100124031042208472e-04 1.446628758600912868e-04
1.921789726476636133e+03 2.137489024722316437e-03 1.446628758600912868e-04
1.921796425533252886e+03 1.075393913048786326e-03 1.446628758600912868e-04
1.921802954882496806e+03 5.578488647155243393e-04 1.446628758600912868e-04
1.921809578916035662e+03 9.773129809523028230e-04 1.446628758600912868e-04
1.921816182857268132e+03 1.441298930522739953e-03 1.446628758600912868e-04
1.921822731692582920e+03 1.545002417472118687e-03 1.446628758600912868e-04
1.921829410400860525e+03 7.535181992364262983e-04 1.446628758600912868e-04
1.921835902859493672e+03 2.194112491689753056e-04 1.446628758600912868e-04
1.921842618515968979e+03 5.905166494494765335e-04 1.446628758600912868e-04
1.921849129791880387e+03 2.484549889714564893e-04 1.446628758600912868e-04
1.921855769826291407e+03 1.365920213449429532e-04 1.446628758600912868e-04
1.921862356292869435e+03 1.805635108582919661e-03 1.446628758600912868e-04
1.921868920529967909e+03 1.229855138802712130e-03 1.446628758600912868e-04
1.921875582362371688e+03 1.855033463486519853e-03 1.446628758600912868e-04
1.921882074209100665e+03 1.752710882322029012e-03 1.446628758600912868e-04
1.921888804417982328e+03 2.138169066290005263e-03 1.446628758600912868e-04
1.921895299666950450e+03 2.097237024541629639e-03 1.446628758600912868e-04
1.921901953654426507e+03 1.388936002698979398e-03 1.446628758600912868e-04
1.921908524693095387e+03 2.067369721874730455e-03 1.446628758600912868e-04
1.921915102283812757e+03 1.632073860236353448e-03 1.446628758600912868e-04
1.921921749287444982e+03 1.594316599464628680e-03 1.446628758600912868e-04
1.921928250306021710e+03 1.988351473107911969e-03 1.446628758600912868e-04
1.921934973449911013e+03 1.953099388532254354e-03 1.446628758600912868e-04
1.921941464504042187e+03 2.594354484311100009e-03 1.446628758600912868e-04
1.921948130395542876e+03 1.732344115267638127e-03 1.446628758600912868e-04
1.921954688054279359e+03 1.192012670084654970e-03 1.446628758600912868e-04
1.921961276949218700e+03 1.548460819718438727e-03 1.446628758600912868e-04
1.921967911172413551e+03 2.051356541915359214e-03 1.446628758600912868e-04
1.921974422895305906e+03 1.908157450540264770e-03 1.446628758600912868e-04
1.921981133858355179e+03 1.004989921487620553e-03 1.446628758600912868e-04
1.921987624299487379e+03 1.101694188469431101e-03 1.446628758600912868e-04
1.921994300044741067e+03 1.359049913488231866e-03 1.446628758600912868e-04
1.922000846372752903e+03 1.320346180019490437e-03 1.446628758600912868e-04
1.922007444521285379e+03 1.608958983479376673e-03 1.446628758600912868e-04
1.922014068013606902e+03 1.429179734412168272e-03 1.446628758600912868e-04
1.922020588389829072e+03 2.009390249499519356e-03 1.446628758600912868e-04
1.922027289221959791e+03 2.283111262758068336e-03 1.446628758600912868e-04
1.922033779049613941e+03 2.572338104365833218e-03 1.446628758600912868e-04
1.922040462597115948e+03 1.757948782332482279e-03 1.446628758600912868e-04
1.922046999644843709e+03 1.897401936094308787e-03 1.446628758600912868e-04
1.922053604995106525e+03 2.455519562011658757e-03 1.446628758600912868e-04
1.922060219807352496e+03 2.433135021030154947e-03 1.446628758600912868e-04
1.922066746784684028e+03 1.790216335498327543e-03 1.446628758600912868e-04
1.922073439537052309e+03 2.143361645019401917e-03 1.446628758600912868e-04
1.922079928750749104e+03 1.982415760198689113e-03 1.446628758600912868e-04
1.922086618047760112e+03 2.802085684784945060e-03 1.446628758600912868e-04
1.922093147866876734e+03 2.237560870309945188e-03 1.446628758600912868e-04
1.922099758365773596e+03 2.245390443142893360e-03 1.446628758600912868e-04
1.922106366549975064e+03 2.663913658538141944e-03 1.446628758600912868e-04
1.922112898074960867e+03 2.758016258005951959e-03 1.446628758600912868e-04
1.922119584799955874e+03 1.851470866746977384e-03 1.446628758600912868e-04
1.922126073399216011e+03 1.288949536681865786e-03 1.446628758600912868e-04
1.922132766391762516e+03 2.067845104858776623e-03 1.446628758600912868e-04
1.922139291035176029e+03 1.869065719012340818e-03 1.446628758600912868e-04
1.922145904628374410e+03 1.848873596392614990e-03 1.446628758600912868e-04
1.922152508237797747e+03 2.116363342418057895e-03 1.446628758600912868e-04
