# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.712470e+00 1.287930e-14 1.240465e-17
1.712866e+00 1.324188e-14 1.255747e-17
1.713262e+00 1.332863e-14 1.250978e-17
1.713658e+00 1.307889e-14 1.119005e-17
1.714054e+00 1.251985e-14 1.010404e-17
1.714450e+00 1.209944e-14 9.562195e-18
1.714846e+00 1.233158e-14 9.698984e-18
1.715242e+00 1.278893e-14 1.183262e-17
1.715638e+00 1.281113e-14 9.453958e-18
1.716034e+00 nan nan
1.716430e+00 1.283624e-14 1.334401e-17
1.716826e+00 1.293143e-14 1.045569e-17
1.717222e+00 1.266520e-14 1.190417e-17
1.717618e+00 1.223168e-14 1.129270e-17
1.718014e+00 1.206892e-14 1.092532e-17
1.718410e+00 1.183136e-14 8.807490e-18
1.718806e+00 1.167460e-14 8.896537e-18
1.719202e+00 1.159839e-14 9.001827e-18
1.719598e+00 1.179202e-14 1.054672e-17
1.719994e+00 1.215304e-14 9.308584e-18
1.720390e+00 1.279993e-14 9.699903e-18
1.720786e+00 1.264650e-14 9.725732e-18
1.721182e+00 1.205868e-14 9.463838e-18
1.721578e+00 1.220172e-14 9.785824e-18
1.721974e+00 1.281081e-14 9.945357e-18
1.722370e+00 1.268567e-14 9.873051e-18
1.722766e+00 1.228656e-14 1.003057e-17
1.723162e+00 1.190506e-14 1.010253e-17
1.723558e+00 1.159951e-14 9.830288e-18
1.723954e+00 1.190275e-14 1.004566e-17
1.724350e+00 1.242532e-14 1.033715e-17
1.724746e+00 1.242612e-14 1.057834e-17
1.725142e+00 1.236113e-14 1.062040e-17
1.725538e+00 1.234405e-14 1.070705e-17
1.725934e+00 1.206530e-14 1.076676e-17
1.726330e+00 1.166820e-14 1.066133e-17
1.726726e+00 1.136540e-14 1.069660e-17
1.727122e+00 1.140231e-14 1.089197e-17
1.727518e+00 1.202293e-14 1.217236e-17
1.727914e+00 1.245498e-14 1.293881e-17
1.728310e+00 1.245088e-14 1.293439e-17
1.728706e+00 1.238656e-14 1.259893e-17
1.729102e+00 1.185315e-14 1.240503e-17
1.729498e+00 1.147737e-14 1.323568e-17
1.729894e+00 1.165765e-14 1.483507e-17
1.730290e+00 1.229215e-14 1.646100e-17
