# # g140h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
9.701175e-01 nan 8.733022e-16
9.703525e-01 nan 1.983251e-16
9.705875e-01 nan 1.767497e-16
9.708225e-01 nan 1.644160e-16
9.710575e-01 nan 1.595323e-16
9.712925e-01 1.660172e-14 1.585902e-16
9.715275e-01 nan nan
9.717625e-01 1.709125e-14 1.328921e-16
9.719975e-01 1.673392e-14 1.049774e-16
9.722325e-01 1.682870e-14 8.208058e-17
9.724675e-01 1.567712e-14 6.665051e-17
9.727025e-01 1.547004e-14 5.899335e-17
9.729375e-01 1.479873e-14 5.013267e-17
9.731725e-01 1.359445e-14 4.643863e-17
9.734075e-01 1.353154e-14 4.705393e-17
9.736425e-01 1.415726e-14 4.916536e-17
9.738775e-01 1.390036e-14 4.828025e-17
9.741125e-01 1.396905e-14 4.944051e-17
9.743475e-01 1.359826e-14 4.881752e-17
9.745825e-01 1.286804e-14 5.145527e-17
9.748175e-01 1.276963e-14 6.147859e-17
9.750525e-01 1.294241e-14 6.888534e-17
9.752875e-01 1.299796e-14 7.321157e-17
9.755225e-01 1.302309e-14 7.632081e-17
9.757575e-01 1.326545e-14 8.154507e-17
9.759925e-01 1.351050e-14 9.090963e-17
9.762275e-01 1.355785e-14 1.026887e-16
9.764625e-01 1.352797e-14 1.104379e-16
9.766975e-01 1.368832e-14 1.309113e-16
9.769325e-01 nan 1.501410e-16
9.771675e-01 nan 1.452711e-16
9.774025e-01 nan 1.471734e-16
9.776375e-01 nan 1.543025e-16
9.778725e-01 nan 1.567106e-16
9.781075e-01 nan 1.552436e-16
9.783425e-01 nan 1.477150e-16
9.785775e-01 nan 1.438299e-16
9.788125e-01 nan 1.433724e-16
9.790475e-01 nan 1.463234e-16
9.792825e-01 nan 1.495482e-16
9.795175e-01 nan 1.540062e-16
9.797525e-01 nan 1.495535e-16
9.799875e-01 nan 1.428882e-16
9.802225e-01 1.432075e-14 1.353115e-16
9.804575e-01 1.443933e-14 1.275106e-16
9.806925e-01 1.440679e-14 1.186289e-16
9.809275e-01 1.437407e-14 1.134836e-16
9.811625e-01 1.452165e-14 1.086417e-16
9.813975e-01 1.448636e-14 9.998486e-17
9.816325e-01 1.373388e-14 9.023874e-17
9.818675e-01 1.340453e-14 7.953684e-17
9.821025e-01 1.393696e-14 7.036217e-17
9.823375e-01 1.397924e-14 7.144716e-17
9.825725e-01 1.447210e-14 7.669311e-17
9.828075e-01 1.459995e-14 5.731249e-17
9.830425e-01 1.454697e-14 4.355540e-17
9.832775e-01 1.433790e-14 3.115125e-17
9.835125e-01 1.425315e-14 2.618810e-17
9.837475e-01 1.421566e-14 2.066636e-17
9.839825e-01 1.444309e-14 2.080190e-17
9.842175e-01 1.495866e-14 2.108408e-17
9.844525e-01 1.512270e-14 2.105379e-17
9.846875e-01 1.509807e-14 2.076284e-17
9.849225e-01 1.529363e-14 2.090835e-17
9.851575e-01 1.552083e-14 2.142697e-17
9.853925e-01 1.506928e-14 2.373384e-17
9.856275e-01 1.537854e-14 3.209947e-17
9.858625e-01 1.588455e-14 4.201259e-17
9.860975e-01 1.602056e-14 5.614645e-17
9.863325e-01 1.609769e-14 6.638032e-17
9.865675e-01 1.615017e-14 7.314962e-17
9.868025e-01 1.619552e-14 8.175839e-17
9.870375e-01 1.586498e-14 8.752605e-17
9.872725e-01 1.581142e-14 9.108067e-17
9.875075e-01 1.645396e-14 9.556297e-17
9.877425e-01 1.692345e-14 9.910417e-17
9.879775e-01 1.660263e-14 9.637323e-17
9.882125e-01 1.628421e-14 9.559520e-17
9.884475e-01 1.670579e-14 1.025007e-16
9.886825e-01 1.723859e-14 1.305273e-16
9.889175e-01 1.778159e-14 1.129017e-16
9.891525e-01 1.721456e-14 1.080589e-16
9.893875e-01 1.701133e-14 1.106371e-16
9.896225e-01 1.643846e-14 1.123921e-16
9.898575e-01 1.541510e-14 1.120044e-16
9.900925e-01 1.461965e-14 1.083938e-16
9.903275e-01 1.430589e-14 1.089474e-16
9.905625e-01 1.364163e-14 1.055377e-16
9.907975e-01 1.291843e-14 1.014725e-16
9.910325e-01 1.269467e-14 1.002817e-16
9.912675e-01 1.312450e-14 1.055745e-16
9.915025e-01 1.309197e-14 1.073963e-16
9.917375e-01 1.239772e-14 1.030355e-16
9.919725e-01 1.232305e-14 1.029743e-16
9.922075e-01 1.316863e-14 1.127124e-16
9.924425e-01 1.300833e-14 1.110469e-16
9.926775e-01 1.278808e-14 1.052741e-16
9.929125e-01 1.331029e-14 1.039487e-16
9.931475e-01 1.394834e-14 1.064582e-16
9.933825e-01 1.426945e-14 1.023814e-16
9.936175e-01 1.356159e-14 8.858697e-17
9.938525e-01 1.402145e-14 9.097524e-17
9.940875e-01 1.495631e-14 9.308592e-17
9.943225e-01 1.546927e-14 9.269589e-17
9.945575e-01 1.550473e-14 8.926637e-17
9.947925e-01 1.552434e-14 8.775792e-17
9.950275e-01 1.563292e-14 8.407261e-17
9.952625e-01 1.588733e-14 7.846012e-17
9.954975e-01 1.608234e-14 7.423769e-17
9.957325e-01 1.588581e-14 6.626723e-17
9.959675e-01 1.588099e-14 6.272290e-17
9.962025e-01 1.547195e-14 5.693746e-17
9.964375e-01 1.571068e-14 5.005951e-17
9.966725e-01 1.630034e-14 4.449029e-17
9.969075e-01 1.622871e-14 3.901313e-17
9.971425e-01 1.489297e-14 3.142677e-17
9.973775e-01 1.444209e-14 2.663613e-17
9.976125e-01 1.443147e-14 2.527331e-17
9.978475e-01 1.490698e-14 2.530822e-17
9.980825e-01 1.542870e-14 2.401695e-17
9.983175e-01 1.551429e-14 2.112180e-17
9.985525e-01 1.497899e-14 1.995964e-17
9.987875e-01 1.445832e-14 1.929725e-17
9.990225e-01 1.436749e-14 1.906280e-17
9.992575e-01 1.383629e-14 1.928795e-17
9.994925e-01 1.418601e-14 2.232500e-17
