# # g395h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
2.870332e+00 nan nan
2.870997e+00 2.592268e-15 1.940127e-17
2.871662e+00 2.485226e-15 1.395795e-17
2.872327e+00 2.365943e-15 8.441992e-18
2.872992e+00 2.264760e-15 6.305656e-18
2.873657e+00 2.399514e-15 5.596952e-18
2.874322e+00 2.551319e-15 5.575227e-18
2.874987e+00 2.581714e-15 4.509370e-18
2.875652e+00 2.718666e-15 3.633624e-18
2.876317e+00 2.753671e-15 3.413614e-18
2.876982e+00 2.669055e-15 3.323079e-18
2.877647e+00 2.576452e-15 3.109841e-18
2.878312e+00 2.550770e-15 2.987192e-18
2.878977e+00 2.570927e-15 3.063489e-18
2.879642e+00 2.588380e-15 3.058774e-18
2.880307e+00 2.591126e-15 2.892415e-18
2.880972e+00 2.579464e-15 2.813814e-18
2.881637e+00 2.587050e-15 2.920216e-18
2.882302e+00 2.559740e-15 2.928205e-18
2.882967e+00 2.517203e-15 2.911771e-18
2.883632e+00 2.539744e-15 2.906972e-18
2.884297e+00 2.525641e-15 4.290622e-18
2.884962e+00 2.564944e-15 2.997583e-18
2.885627e+00 2.476050e-15 2.858356e-18
2.886292e+00 2.420051e-15 2.668465e-18
2.886957e+00 2.594929e-15 2.611788e-18
2.887622e+00 2.566192e-15 2.539035e-18
2.888287e+00 2.391020e-15 2.459266e-18
2.888952e+00 2.336124e-15 2.381081e-18
2.889617e+00 2.346334e-15 2.312886e-18
2.890282e+00 2.415397e-15 2.352001e-18
2.890947e+00 2.391785e-15 2.275615e-18
2.891612e+00 2.370187e-15 2.185244e-18
2.892277e+00 2.510437e-15 2.244938e-18
2.892942e+00 2.594394e-15 2.270551e-18
2.893607e+00 2.646310e-15 2.276185e-18
2.894272e+00 2.775465e-15 2.324831e-18
2.894937e+00 2.772003e-15 2.299181e-18
2.895602e+00 2.640735e-15 2.323992e-18
2.896267e+00 nan nan
2.896932e+00 2.616980e-15 2.250369e-18
2.897597e+00 2.732060e-15 2.243085e-18
2.898262e+00 2.723040e-15 2.251272e-18
2.898927e+00 2.449592e-15 2.086650e-18
2.899592e+00 2.331128e-15 2.028741e-18
2.900257e+00 2.358513e-15 2.294216e-18
2.900922e+00 2.368265e-15 2.300456e-18
2.901587e+00 2.437235e-15 2.814497e-18
2.902252e+00 2.470153e-15 2.796340e-18
2.902917e+00 2.535646e-15 2.699736e-18
2.903582e+00 2.587728e-15 2.488019e-18
2.904247e+00 2.424535e-15 2.002267e-18
2.904912e+00 2.445745e-15 2.021258e-18
2.905577e+00 2.549374e-15 2.363975e-18
2.906242e+00 nan nan
2.906907e+00 2.497904e-15 2.014155e-18
