gl338B 482.37392651210394 10.0
gl846 -938.6063710489107 10
gl410 -354.09690551481253 10
gl205 2154.106418433461 10.0
gl514 165.39266260583827 18.558025768863253
gl880 816.9580044385475 10.0
gl15A 19.40639837269555 6.526611975313273
gl412A 5.365156573945569 3.716167358561496
gl382 561.6686081127409 10.0
gl411 1.9300151980933151 2.5093839733317242
gl752A 116.97176769977523 15.712120176436585
gl48 23.423863880427234 7.128910609505947
gl617B 195.80557649076582 20.138566979374154
gl436 105.22975377264447 14.939110093317032
gl480 99.257621018809 14.529866570812272
gl849 459.1778683351913 10.0
gl408 55.585075811934075 11.073749885625876
gl687 22.6823968436438 7.021819104078204
gl725A 4.805372076098138 3.551719906452472
gl317 126.68113134594387 16.323223610608185
gl4333 57.72507401072289 11.268636828127908
gl4063 572.3076455786359 10.0
gl725B 1.8543118527159095 2.4745060610445124
gl876 177.37160470054732 19.196281979701595
gl445 -1.0317402731743641 0.3268232201699098
gl15B 5.755842769765877 3.826262857408678
gl699 0.7941774467435607 1.8911222260485907
gl447 20.79794008000681 6.74162545540399
gl1151 32.77566873750038 8.716485140409354
gl905 93.48913492242718 14.123085141463314
gl1002 11.335718559243105 5.091073563960633
gl1286 31.939678289181757 8.256321044810262
