# # g395h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
2.870332e+00 nan nan
2.870997e+00 nan nan
2.871662e+00 nan nan
2.872327e+00 nan nan
2.872992e+00 nan nan
2.873657e+00 nan nan
2.874322e+00 nan nan
2.874987e+00 2.304358e-15 3.554289e-18
2.875652e+00 2.446104e-15 2.893376e-18
2.876317e+00 2.474513e-15 2.850423e-18
2.876982e+00 nan nan
2.877647e+00 2.304747e-15 2.974200e-18
2.878312e+00 2.275153e-15 2.403717e-18
2.878977e+00 2.280979e-15 2.366149e-18
2.879642e+00 2.286291e-15 2.373729e-18
2.880307e+00 2.304400e-15 2.292317e-18
2.880972e+00 2.301457e-15 2.303327e-18
2.881637e+00 2.306347e-15 2.425357e-18
2.882302e+00 2.273635e-15 2.461870e-18
2.882967e+00 2.238444e-15 2.438541e-18
2.883632e+00 2.272277e-15 2.475853e-18
2.884297e+00 2.282978e-15 2.534710e-18
2.884962e+00 2.323202e-15 2.621993e-18
2.885627e+00 2.198760e-15 2.537175e-18
2.886292e+00 2.144081e-15 2.397734e-18
2.886957e+00 2.293860e-15 2.381229e-18
2.887622e+00 2.283551e-15 2.374520e-18
2.888287e+00 2.112963e-15 2.308678e-18
2.888952e+00 2.063096e-15 2.260948e-18
2.889617e+00 2.086917e-15 2.216949e-18
2.890282e+00 2.124441e-15 2.260313e-18
2.890947e+00 2.111136e-15 2.221081e-18
2.891612e+00 2.091334e-15 2.132679e-18
2.892277e+00 2.232446e-15 2.308835e-18
2.892942e+00 2.317205e-15 2.359094e-18
2.893607e+00 2.368908e-15 2.368565e-18
2.894272e+00 2.502269e-15 2.341970e-18
2.894937e+00 2.486209e-15 2.315586e-18
2.895602e+00 2.361887e-15 2.242948e-18
2.896267e+00 nan nan
2.896932e+00 2.331255e-15 2.705898e-18
2.897597e+00 2.462695e-15 2.229425e-18
2.898262e+00 2.400930e-15 2.184707e-18
2.898927e+00 2.162348e-15 2.074923e-18
2.899592e+00 2.065793e-15 2.013832e-18
2.900257e+00 2.103427e-15 2.024358e-18
2.900922e+00 2.089150e-15 1.991822e-18
2.901587e+00 2.188380e-15 2.080236e-18
2.902252e+00 2.199270e-15 2.099512e-18
2.902917e+00 2.266596e-15 2.101704e-18
2.903582e+00 2.290477e-15 2.069333e-18
2.904247e+00 2.147336e-15 1.930634e-18
2.904912e+00 2.165698e-15 1.955861e-18
2.905577e+00 2.281051e-15 1.955098e-18
2.906242e+00 2.273128e-15 1.969141e-18
2.906907e+00 2.213681e-15 1.926723e-18
2.907572e+00 2.021447e-15 1.817719e-18
2.908237e+00 1.851846e-15 1.746001e-18
2.908902e+00 1.904873e-15 1.761938e-18
2.909567e+00 1.954816e-15 1.770361e-18
2.910232e+00 1.899975e-15 1.750942e-18
2.910897e+00 2.083490e-15 1.872248e-18
2.911562e+00 2.324597e-15 2.003361e-18
2.912227e+00 2.334954e-15 2.008765e-18
2.912892e+00 2.308470e-15 2.030855e-18
2.913557e+00 2.290841e-15 1.995902e-18
2.914222e+00 2.258952e-15 1.962352e-18
2.914887e+00 2.202473e-15 1.958569e-18
2.915552e+00 2.183675e-15 1.914241e-18
2.916217e+00 2.211093e-15 1.905934e-18
2.916882e+00 2.173784e-15 1.932730e-18
2.917547e+00 2.192088e-15 2.011308e-18
2.918212e+00 2.256134e-15 2.024247e-18
2.918877e+00 2.239083e-15 2.029857e-18
2.919542e+00 nan nan
2.920207e+00 2.136598e-15 2.023500e-18
2.920872e+00 2.092394e-15 1.911153e-18
2.921537e+00 2.062047e-15 1.837062e-18
2.922202e+00 2.088607e-15 1.832772e-18
2.922867e+00 2.108365e-15 1.865582e-18
2.923532e+00 2.064504e-15 1.859387e-18
2.924197e+00 2.086018e-15 1.870829e-18
2.924862e+00 2.146868e-15 1.923141e-18
2.925527e+00 2.205524e-15 1.993964e-18
2.926192e+00 2.197211e-15 2.050343e-18
2.926857e+00 2.218156e-15 2.012959e-18
2.927522e+00 2.111185e-15 1.905950e-18
2.928187e+00 2.104504e-15 1.921855e-18
