# # g140h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
9.701175e-01 nan nan
9.703525e-01 nan nan
9.705875e-01 nan nan
9.708225e-01 nan nan
9.710575e-01 nan nan
9.712925e-01 nan nan
9.715275e-01 1.781010e-14 1.680629e-16
9.717625e-01 1.816115e-14 1.375057e-16
9.719975e-01 1.792171e-14 1.099035e-16
9.722325e-01 1.738556e-14 9.181868e-17
9.724675e-01 1.704012e-14 8.139946e-17
9.727025e-01 1.664865e-14 7.182926e-17
9.729375e-01 1.599100e-14 6.009378e-17
9.731725e-01 1.493010e-14 5.544476e-17
9.734075e-01 1.475414e-14 5.545680e-17
9.736425e-01 1.508162e-14 5.614829e-17
9.738775e-01 1.526741e-14 5.679208e-17
9.741125e-01 1.529551e-14 5.647863e-17
9.743475e-01 1.480860e-14 5.376497e-17
9.745825e-01 1.413257e-14 5.800259e-17
9.748175e-01 1.406666e-14 6.766649e-17
9.750525e-01 1.420559e-14 7.432546e-17
9.752875e-01 1.418123e-14 7.738898e-17
9.755225e-01 1.421637e-14 8.021879e-17
9.757575e-01 1.438050e-14 8.443229e-17
9.759925e-01 1.465558e-14 9.268065e-17
9.762275e-01 1.476556e-14 1.039929e-16
9.764625e-01 1.472163e-14 1.103547e-16
9.766975e-01 1.499758e-14 1.280557e-16
9.769325e-01 1.505774e-14 1.476942e-16
9.771675e-01 nan nan
9.774025e-01 nan nan
9.776375e-01 nan nan
9.778725e-01 nan nan
9.781075e-01 nan nan
9.783425e-01 nan nan
9.785775e-01 nan nan
9.788125e-01 nan nan
9.790475e-01 nan nan
9.792825e-01 1.476100e-14 1.451258e-16
9.795175e-01 1.513919e-14 1.482190e-16
9.797525e-01 1.523843e-14 1.441300e-16
9.799875e-01 1.530667e-14 1.380729e-16
9.802225e-01 1.533220e-14 1.308689e-16
9.804575e-01 1.540909e-14 1.224193e-16
9.806925e-01 1.545897e-14 1.138762e-16
9.809275e-01 1.538466e-14 1.090946e-16
9.811625e-01 1.556545e-14 1.043825e-16
9.813975e-01 1.549409e-14 9.540712e-17
9.816325e-01 1.470164e-14 8.590138e-17
9.818675e-01 1.453632e-14 7.603297e-17
9.821025e-01 1.505526e-14 6.769650e-17
9.823375e-01 1.556391e-14 6.927602e-17
9.825725e-01 1.579957e-14 6.645690e-17
9.828075e-01 1.579507e-14 5.386438e-17
9.830425e-01 1.577003e-14 4.026971e-17
9.832775e-01 1.547466e-14 2.994581e-17
9.835125e-01 1.537785e-14 2.423608e-17
9.837475e-01 1.547254e-14 2.056000e-17
9.839825e-01 1.584942e-14 2.086047e-17
9.842175e-01 1.596230e-14 2.064784e-17
9.844525e-01 1.615475e-14 2.077793e-17
9.846875e-01 1.632604e-14 2.098818e-17
9.849225e-01 1.653582e-14 2.126391e-17
9.851575e-01 1.653744e-14 2.139109e-17
9.853925e-01 1.638645e-14 2.510463e-17
9.856275e-01 1.664594e-14 3.327662e-17
9.858625e-01 1.705447e-14 4.333651e-17
