# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.714450e+00 1.155144e-14 9.569629e-18
1.714846e+00 1.175217e-14 9.460160e-18
1.715242e+00 1.222124e-14 9.586189e-18
1.715638e+00 1.216289e-14 9.455409e-18
1.716034e+00 1.202883e-14 9.483430e-18
1.716430e+00 1.222595e-14 9.484956e-18
1.716826e+00 1.234771e-14 9.622569e-18
1.717222e+00 1.197002e-14 9.747721e-18
1.717618e+00 1.168901e-14 9.333456e-18
1.718014e+00 1.156519e-14 9.165552e-18
1.718410e+00 1.140550e-14 8.879069e-18
1.718806e+00 1.115588e-14 8.836458e-18
1.719202e+00 1.106329e-14 8.851458e-18
1.719598e+00 1.167087e-14 2.108346e-17
1.719994e+00 1.144727e-14 9.147414e-18
1.720390e+00 1.210204e-14 9.385875e-18
1.720786e+00 1.199720e-14 9.447299e-18
1.721182e+00 1.140303e-14 9.277297e-18
1.721578e+00 1.162293e-14 9.545185e-18
1.721974e+00 1.218792e-14 9.818598e-18
1.722370e+00 1.202220e-14 9.743447e-18
1.722766e+00 1.155302e-14 9.670572e-18
1.723162e+00 1.124047e-14 9.652303e-18
1.723558e+00 1.096761e-14 9.350999e-18
1.723954e+00 1.129981e-14 9.592871e-18
1.724350e+00 1.176338e-14 9.764146e-18
1.724746e+00 1.173454e-14 9.857949e-18
1.725142e+00 1.169318e-14 9.909658e-18
1.725538e+00 1.173606e-14 9.961629e-18
1.725934e+00 1.151152e-14 1.000408e-17
1.726330e+00 1.110002e-14 1.007754e-17
1.726726e+00 1.084441e-14 1.015366e-17
1.727122e+00 1.087514e-14 1.017660e-17
1.727518e+00 1.147917e-14 1.137635e-17
1.727914e+00 1.191221e-14 1.175428e-17
1.728310e+00 1.188577e-14 1.161466e-17
1.728706e+00 1.168626e-14 1.102784e-17
1.729102e+00 1.126508e-14 1.097556e-17
1.729498e+00 1.098202e-14 1.172955e-17
1.729894e+00 1.120881e-14 1.322890e-17
1.730290e+00 1.176627e-14 1.456566e-17
1.730686e+00 1.217365e-14 1.523543e-17
1.731082e+00 1.135821e-14 1.751872e-17
1.731478e+00 1.093752e-14 1.322221e-17
1.731874e+00 1.041012e-14 1.278486e-17
1.732270e+00 1.079785e-14 1.406502e-17
1.732666e+00 1.126310e-14 1.473888e-17
1.733062e+00 1.152306e-14 1.836331e-17
1.733458e+00 1.151035e-14 2.051695e-17
1.733854e+00 1.122855e-14 2.185235e-17
1.734250e+00 1.079047e-14 2.290430e-17
1.734646e+00 1.057147e-14 2.283374e-17
1.735042e+00 1.057486e-14 2.262167e-17
1.735438e+00 1.059827e-14 2.254403e-17
1.735834e+00 1.084549e-14 2.180996e-17
1.736230e+00 1.116019e-14 2.142828e-17
1.736626e+00 1.112531e-14 1.698348e-17
1.737022e+00 1.096955e-14 1.400822e-17
1.737418e+00 1.112023e-14 1.409333e-17
1.737814e+00 1.122376e-14 1.419811e-17
1.738210e+00 1.102544e-14 1.364851e-17
1.738606e+00 1.116793e-14 1.351153e-17
1.739002e+00 1.129403e-14 1.196590e-17
1.739398e+00 1.117631e-14 1.060363e-17
1.739794e+00 nan nan
1.740190e+00 1.040011e-14 1.102541e-17
1.740586e+00 1.015920e-14 1.079202e-17
1.740982e+00 1.055560e-14 9.244616e-18
1.741378e+00 nan nan
1.741774e+00 1.141075e-14 9.947331e-18
1.742170e+00 1.130793e-14 1.018841e-17
1.742566e+00 1.064704e-14 1.003392e-17
1.742962e+00 1.066264e-14 1.006886e-17
1.743358e+00 1.080580e-14 1.028011e-17
1.743754e+00 1.050928e-14 1.007775e-17
1.744150e+00 1.182747e-14 2.382336e-17
1.744546e+00 1.109672e-14 1.107806e-17
1.744942e+00 1.090035e-14 1.129821e-17
1.745338e+00 1.066048e-14 2.436348e-17
1.745734e+00 1.080550e-14 2.546409e-17
1.746130e+00 1.147681e-14 1.351772e-17
1.746526e+00 1.116001e-14 1.320204e-17
1.746922e+00 1.065751e-14 1.270533e-17
1.747318e+00 1.034619e-14 1.246080e-17
1.747714e+00 1.032827e-14 1.236098e-17
1.748110e+00 1.024037e-14 1.229229e-17
1.748506e+00 1.078953e-14 1.290673e-17
1.748902e+00 1.111797e-14 1.127497e-17
1.749298e+00 1.091032e-14 9.863591e-18
1.749694e+00 1.089913e-14 9.821981e-18
1.750090e+00 1.055142e-14 9.322812e-18
1.750486e+00 9.741314e-15 8.845038e-18
1.750882e+00 9.772837e-15 8.828661e-18
1.751278e+00 1.033251e-14 9.068089e-18
1.751674e+00 1.042583e-14 9.086776e-18
1.752070e+00 1.036102e-14 9.596852e-18
1.752466e+00 1.072064e-14 9.968988e-18
1.752862e+00 1.107669e-14 1.056250e-17
1.753258e+00 1.082888e-14 1.057507e-17
1.753654e+00 1.044772e-14 1.000184e-17
1.754050e+00 1.019251e-14 9.685565e-18
1.754446e+00 1.012927e-14 9.332497e-18
1.754842e+00 1.039701e-14 9.536094e-18
1.755238e+00 1.056496e-14 9.812165e-18
1.755634e+00 1.009940e-14 9.561582e-18
1.756030e+00 9.619389e-15 9.535806e-18
1.756426e+00 9.491686e-15 9.612851e-18
1.756822e+00 9.656194e-15 9.696649e-18
1.757218e+00 1.013972e-14 1.005155e-17
1.757614e+00 1.031216e-14 1.024303e-17
1.758010e+00 1.004263e-14 1.035758e-17
1.758406e+00 9.859642e-15 1.036016e-17
1.758802e+00 9.795684e-15 9.903009e-18
1.759198e+00 1.002170e-14 9.860650e-18
1.759594e+00 1.029101e-14 1.007169e-17
1.759990e+00 1.047140e-14 1.055228e-17
1.760386e+00 1.029312e-14 1.072059e-17
1.760782e+00 9.700418e-15 1.046745e-17
1.761178e+00 9.779476e-15 1.073546e-17
1.761574e+00 1.027021e-14 1.115711e-17
1.761970e+00 1.010583e-14 1.100543e-17
1.762366e+00 9.549297e-15 1.045554e-17
1.762762e+00 9.400821e-15 1.019281e-17
1.763158e+00 9.790942e-15 2.334131e-17
1.763554e+00 1.053723e-14 2.573192e-17
1.763950e+00 1.042337e-14 1.120491e-17
1.764346e+00 9.826676e-15 1.040880e-17
1.764742e+00 9.985504e-15 1.083462e-17
1.765138e+00 1.026467e-14 1.129047e-17
1.765534e+00 1.028840e-14 1.273612e-17
1.765930e+00 1.064240e-14 1.386731e-17
1.766326e+00 1.087017e-14 1.430336e-17
1.766722e+00 1.033877e-14 1.366918e-17
1.767118e+00 9.587245e-15 1.278470e-17
1.767514e+00 9.333639e-15 1.239284e-17
1.767910e+00 9.285285e-15 1.222139e-17
1.768306e+00 9.196414e-15 1.213394e-17
1.768702e+00 9.444063e-15 1.248025e-17
1.769098e+00 9.922635e-15 1.293133e-17
1.769494e+00 1.027313e-14 1.325213e-17
1.769890e+00 1.021066e-14 1.380889e-17
1.770286e+00 1.005336e-14 1.387490e-17
1.770682e+00 9.920763e-15 1.294553e-17
1.771078e+00 9.644395e-15 1.197042e-17
1.771474e+00 9.588035e-15 1.192044e-17
1.771870e+00 9.514482e-15 1.182209e-17
1.772266e+00 9.221100e-15 1.220384e-17
1.772662e+00 9.001761e-15 1.221336e-17
1.773058e+00 9.197589e-15 1.244423e-17
1.773454e+00 9.808357e-15 1.323688e-17
1.773850e+00 1.002676e-14 1.360043e-17
1.774246e+00 9.594253e-15 1.302599e-17
1.774642e+00 8.905491e-15 1.208741e-17
1.775038e+00 8.702013e-15 1.191533e-17
1.775434e+00 8.955680e-15 1.227237e-17
1.775830e+00 9.191860e-15 1.243183e-17
1.776226e+00 8.902636e-15 1.210167e-17
1.776622e+00 8.764709e-15 1.202637e-17
1.777018e+00 9.109308e-15 1.212618e-17
1.777414e+00 9.289138e-15 1.011514e-17
1.777810e+00 9.164717e-15 8.268073e-18
1.778206e+00 9.259814e-15 8.021442e-18
1.778602e+00 9.322361e-15 8.022764e-18
1.778998e+00 9.065420e-15 7.828789e-18
1.779394e+00 8.727076e-15 7.706400e-18
1.779790e+00 8.831364e-15 7.957467e-18
1.780186e+00 9.488294e-15 8.598021e-18
1.780582e+00 9.630313e-15 8.838624e-18
1.780978e+00 8.979109e-15 8.919302e-18
1.781374e+00 8.529096e-15 9.294653e-18
1.781770e+00 8.750330e-15 9.619881e-18
