# Wlen(nm) Transmission
1.923363438295364858e+03 7.731861584166001000e-01
1.923369914231710027e+03 7.718123933135349057e-01
1.923376519789021813e+03 7.706825349939475656e-01
1.923383091024402120e+03 7.696265255189559396e-01
1.923389600656895482e+03 7.684600247084223401e-01
1.923396267371272643e+03 7.670699079051317426e-01
1.923402738555148517e+03 7.654195257668219288e-01
1.923409385614448411e+03 7.635263808428617294e-01
1.923415914269673067e+03 7.614165497590054121e-01
1.923422464968321947e+03 7.591148132590788133e-01
1.923429089538152994e+03 7.566296107328929210e-01
1.923435560274265754e+03 7.539491393591659651e-01
1.923442247781793185e+03 7.510586278884043843e-01
1.923448734910074791e+03 7.479458635524759424e-01
1.923455325620934900e+03 7.446303887218731488e-01
1.923461909099616605e+03 7.411574681778221318e-01
1.923468402833575283e+03 7.375762610815291831e-01
1.923475082842798429e+03 7.339216229084425391e-01
1.923481552944266241e+03 7.302248322607659548e-01
1.923488182612941955e+03 7.265406118706255745e-01
1.923494726054321063e+03 7.229117437848172623e-01
1.923501258309820059e+03 7.193498708330506863e-01
1.923507898717792159e+03 7.158419776097885157e-01
1.923514368370904094e+03 7.123464916943610392e-01
1.923521035942550043e+03 7.087832194554886112e-01
1.923527540400923954e+03 7.050321491035852484e-01
1.923534110122933043e+03 7.009849288974397963e-01
1.923540711984136806e+03 6.965733865422625293e-01
1.923547183676094164e+03 6.917692597716472713e-01
1.923553883120451019e+03 6.865620627422680533e-01
1.923560352138081726e+03 6.809240569008926380e-01
1.923566958271119802e+03 6.748056048470257862e-01
1.923573522640487454e+03 6.681170628700543457e-01
1.923580030306753997e+03 6.607155110405138476e-01
1.923586692695770353e+03 6.523675342419369416e-01
1.923593161264450600e+03 6.426853782716246410e-01
1.923599802752584537e+03 6.310644808728735899e-01
1.923606330685499415e+03 6.167504493009573485e-01
1.923612873269958982e+03 5.991847468217150752e-01
1.923619499659201665e+03 5.786040752172796342e-01
1.923625967778684753e+03 5.567715574565951231e-01
1.923632643565530998e+03 5.369219463947564330e-01
1.923639136117828002e+03 5.220992477453755276e-01
1.923645712563911275e+03 5.137564589204703935e-01
1.923652304009400495e+03 5.118030633326703382e-01
1.923658780934049901e+03 5.145857847772095095e-01
1.923665471453310147e+03 5.189229202753586900e-01
1.923671938936126935e+03 5.215564940746272304e-01
1.923678548186813714e+03 5.207714763437416572e-01
1.923685105745019655e+03 5.163418564668850186e-01
1.923691615036924759e+03 5.087812331568957180e-01
1.923698272106025797e+03 4.987619727701924632e-01
1.923704739139050162e+03 4.867571737974169532e-01
1.923711380136867774e+03 4.729912069394535123e-01
1.923717904864713319e+03 4.575206979052047762e-01
1.923724445466215457e+03 4.402827766271359411e-01
1.923731070142265025e+03 4.210924978672799801e-01
1.923737536725249356e+03 3.996555366835141676e-01
1.923744208412272428e+03 3.755599731015535347e-01
1.923750701367132933e+03 3.482669518497314431e-01
1.923757272220123014e+03 3.171190351313415978e-01
1.923763865560680415e+03 2.815675536949625024e-01
1.923770335398709676e+03 2.416285327317612974e-01
1.923777029305799715e+03 1.983344237171761892e-01
1.923783495250930628e+03 1.541049308671068596e-01
1.923790095296845493e+03 1.125789815048493098e-01
1.923796658359922958e+03 7.761605509774001377e-02
1.923803156952898462e+03 5.203461846685669689e-02
1.923809821020262234e+03 3.680767347463432398e-02
1.923816286514757394e+03 3.062307809608722647e-02
1.923822914694580732e+03 3.029098317795098083e-02
1.923829448538643874e+03 3.212096561616926971e-02
1.923835974827365362e+03 3.314146972073964137e-02
1.923842610113652427e+03 3.166887542990497184e-02
1.923849075157263769e+03 2.756187797116008489e-02
1.923855730411527247e+03 2.185984313072027174e-02
1.923862236095492563e+03 1.589641861029163911e-02
1.923868789020305485e+03 1.070548421949383926e-02
1.923875396584619011e+03 6.909329334102238575e-03
1.923881861177098699e+03 4.657285466226531931e-03
1.923888542445879239e+03 3.644361344466794540e-03
1.923895021029118880e+03 3.334155804348728786e-03
1.923901599529915529e+03 3.222038056506607972e-03
1.923908180431810933e+03 2.989090609615825938e-03
1.923914655983363446e+03 2.530830013280424909e-03
1.923921339385083911e+03 1.912002822897298799e-03
1.923927803338171088e+03 1.274107175081349609e-03
1.923934406354390148e+03 7.418852034374844853e-04
1.923940961653876911e+03 3.739274087794642980e-04
1.923947461282057247e+03 1.611243692291183468e-04
1.923954119519938558e+03 5.827346133025665230e-05
1.923960583021296770e+03 nan
1.923967209491922404e+03 4.003572720163374255e-06
1.923973740249465209e+03 6.738113430678756860e-07
1.923980262893071540e+03 7.411355684393953185e-08
1.923986897027763007e+03 nan
1.923993360077143734e+03 9.510745088425464969e-11
1.924000008940704902e+03 nan
1.924006516217221133e+03 nan
1.924013060814598475e+03 nan
1.924019671907203019e+03 3.531944774185921079e-09
1.924026134504357742e+03 7.003381569948268733e-08
1.924032804698931386e+03 6.981180510776186892e-07
1.924039289555792266e+03 nan
1.924045855044830432e+03 nan
1.924052444156904585e+03 nan
1.924058906301585466e+03 nan
1.924065596764791962e+03 nan
1.924072060263822550e+03 nan
1.924078645581957062e+03 1.815648489363000211e-03
1.924085213775513012e+03 3.040975748211211319e-03
1.924091693766904882e+03 4.645767140791039716e-03
1.924098366836564537e+03 6.545996045911655660e-03
1.924104828339958658e+03 8.578555628738665159e-03
1.924111432424168470e+03 1.052852676969823036e-02
1.924117980761672698e+03 1.217295455532295574e-02
1.924124479079341654e+03 1.332065162653310944e-02
1.924131132732521792e+03 1.384154781513381900e-02
1.924137593782842714e+03 1.368842196998030884e-02
1.924144215569653170e+03 1.289680609859560588e-02
1.924150745114027814e+03 1.157261324077750626e-02
1.924157260694312527e+03 9.877805990300676450e-03
1.924163895994121503e+03 nan
1.924170356591119344e+03 6.134473769753517533e-03
1.924176995016598539e+03 4.430539743203002444e-03
1.924183506831220257e+03 nan
1.924190038610003739e+03 1.895927891103976141e-03
1.924196656620004433e+03 1.109592381328233703e-03
1.924203116763430444e+03 5.962941814242943500e-04
1.924209770763191955e+03 2.910829214784206023e-04
1.924216265911893515e+03 1.274876456072114301e-04
1.924222812824602443e+03 4.923601068259881550e-05
1.924229414608812931e+03 1.643485828586103880e-05
1.924235874298417912e+03 4.621252286678003333e-06
1.924242542807619202e+03 1.046110513666433820e-06
1.924249022354688350e+03 1.795970664712017994e-07
1.924255583336293967e+03 2.156119014182061364e-08
1.924262169959188668e+03 1.554232425921622993e-09
1.924268629194723189e+03 nan
1.924275311148065157e+03 6.808709526214388081e-13
1.924281776158246203e+03 9.324014435461587417e-14
1.924288350143262505e+03 1.233188344824489170e-11
1.924294922669772404e+03 4.437188116278616848e-10
1.924301388504306260e+03 8.257727383298514723e-09
1.924308068729209253e+03 8.179175408306123181e-08
1.924314527321206697e+03 5.332741950051401472e-07
1.924321113243692480e+03 2.547895994038854531e-06
1.924327672739203535e+03 9.500203314200445331e-06
1.924334150070214491e+03 2.906607144005879341e-05
1.924340817704883875e+03 nan
1.924347275842209910e+03 nan
1.924353872635764901e+03 3.257289699393507969e-04
1.924360420166121230e+03 nan
1.924366907927023476e+03 nan
1.924373564037490269e+03 1.161932719652814623e-03
1.924380021719893875e+03 1.416195465024257683e-03
1.924386628317662826e+03 1.546475922996834625e-03
1.924393164949164429e+03 1.512587569730695480e-03
1.924399662072915135e+03 1.323296127020646669e-03
1.924406307725665329e+03 1.030083145731548787e-03
1.924412764952897078e+03 7.052340512043268070e-04
1.924419380287566128e+03 nan
1.924425907086970255e+03 2.174425209647047347e-04
1.924432412506069568e+03 1.348859004689600646e-04
1.924439048768046405e+03 2.286928629569695939e-04
1.924445505539857095e+03 6.600360999163973341e-04
1.924452128543654908e+03 1.767958157897184289e-03
1.924458646578175831e+03 4.086953597491358413e-03
1.924465159224665285e+03 8.279360656180036887e-03
1.924471787163271301e+03 1.501293438165461104e-02
1.924478243479409230e+03 2.479245194459063842e-02
1.924484873084107903e+03 3.777996592756507899e-02
1.924491383421417822e+03 5.365590412001279563e-02
1.924497902226882161e+03 7.161413540074015871e-02
1.924504522909975549e+03 9.046898029746031078e-02
1.924510978770190377e+03 1.087386517744926562e-01
1.924517613907102259e+03 1.247808789077908959e-01
1.924524117615331761e+03 1.370831728362066626e-01
1.924530641510896203e+03 1.446972749272915360e-01
1.924537256006793996e+03 1.477191713597457434e-01
1.924543711410835840e+03 1.476075448334022988e-01
1.924550351010815803e+03 1.464689745277303057e-01
1.924556849158551813e+03 1.456065757156971285e-01
1.924563377074884556e+03 1.448805035759876680e-01
1.924569986452361718e+03 1.428655401357543375e-01
1.924576441399980013e+03 1.372121874978166345e-01
1.924583084393424087e+03 1.257532500830345068e-01
1.924589578049713054e+03 1.084012941396185897e-01
1.924596108917022548e+03 8.799340325223976855e-02
1.924602714245312427e+03 6.944102850307024011e-02
1.924609168736255924e+03 5.833350278611051931e-02
1.924615814053102213e+03 5.947338394285033719e-02
1.924622304287448060e+03 7.535314663440363658e-02
1.924628837035484594e+03 1.054306005816731812e-01
1.924635439384279380e+03 1.467092210828449539e-01
1.924641893418297059e+03 1.946883925589365238e-01
1.924648539988023686e+03 2.443676982440087797e-01
1.924655027870390313e+03 2.912447387420111777e-01
1.924661561428444884e+03 3.320310250565853827e-01
1.924668161867894241e+03 3.648321654254359503e-01
1.924674615444735082e+03 3.891936802089667191e-01
1.924681262196361558e+03 4.061328302909269494e-01
1.924687748797171025e+03 4.182236988923782595e-01
1.924694282094075788e+03 4.287208098693903180e-01
1.924700881694789587e+03 4.398593734691620960e-01
1.924707334814202341e+03 4.524063774449887387e-01
1.924713980676287520e+03 4.660117454742126464e-01
1.924720467066421861e+03 4.793008174486527717e-01
1.924726999030548313e+03 4.907225782515913792e-01
1.924733598863595944e+03 5.001111116184205896e-01
1.924740051525329591e+03 5.085637284461389518e-01
1.924746695425973712e+03 5.172264923787736057e-01
1.924753182676773577e+03 5.267124530620432843e-01
1.924759712236033693e+03 5.367220250660602598e-01
1.924766313372943387e+03 5.458607581879149073e-01
1.924772765576746679e+03 5.523247955469354764e-01
1.924779406443590005e+03 5.548342954191199938e-01
1.924785895626855108e+03 5.527922151118176419e-01
1.924792421708701568e+03 5.459650296021540949e-01
1.924799025221461989e+03 5.341917997044055566e-01
1.924805476967082768e+03 5.172980293389380924e-01
1.924812113727304677e+03 4.949612977892228205e-01
1.924818605915296985e+03 4.664662622351563592e-01
1.924825127446720671e+03 4.307755071635728794e-01
1.924831734407780232e+03 3.870416092978497535e-01
1.924838185694966569e+03 3.352936746130208978e-01
1.924844817275286687e+03 2.771440014208930158e-01
1.924851313540726096e+03 2.164341361263057706e-01
1.924857829448259508e+03 1.588875063354401040e-01
1.924864440930526143e+03 1.108149522686580485e-01
1.924870891759026563e+03 7.802025089697545157e-02
1.924877517085703630e+03 6.504385821192802675e-02
1.924884018501771152e+03 7.406966266512785002e-02
1.924890527711483628e+03 1.042604029926434139e-01
1.924897144788327296e+03 1.522734582748557775e-01
1.924903595157889413e+03 2.130760819235264225e-01
1.924910213156720602e+03 2.807758473895680118e-01
1.924916720797058360e+03 3.494786872316946735e-01
1.924923222234559262e+03 4.142831909270912605e-01
1.924929845979809897e+03 4.720644379050705775e-01
1.924936295890181782e+03 5.216449362830557490e-01
1.924942905486503150e+03 5.632149171821568823e-01
1.924949420425214157e+03 5.976333307217421842e-01
1.924955913015652641e+03 6.260268191222417844e-01
1.924962544503600384e+03 6.494601657874032874e-01
1.924968993954530106e+03 6.687683179521791699e-01
1.924975594073217053e+03 6.845011784880162820e-01
1.924982117384864068e+03 6.969316633976486708e-01
1.924988600052925904e+03 7.061693882488190299e-01
1.924995240358323372e+03 7.123857622433303893e-01
1.925001689349557864e+03 7.161915410457244668e-01
1.925008278915024448e+03 7.189910533080388078e-01
1.925014811674632938e+03 7.225312734633322354e-01
1.925021283344542780e+03 7.279791249870085634e-01
1.925027933542603705e+03 7.357618667741711027e-01
1.925034382073890356e+03 7.456858322402204475e-01
1.925040960010087247e+03 7.567573448201582176e-01
1.925047503293144700e+03 7.674694183319921148e-01
1.925053962888665865e+03 7.767715257565073195e-01
1.925060624055064864e+03 7.844065357383525061e-01
1.925067072126151061e+03 7.905894355470242107e-01
1.925073637356568497e+03 7.956985886741682057e-01
1.925080192239022381e+03 8.000606241274074160e-01
1.925086640041338796e+03 8.038889048132211723e-01
1.925093310536411764e+03 8.073041239543914394e-01
1.925099759504963458e+03 8.103641912717237661e-01
1.925106310952626927e+03 8.130864066085238262e-01
1.925112878510889004e+03 8.154723089846689366e-01
1.925119325852602969e+03 8.175398128709775447e-01
1.925125981933095090e+03 8.193642322265888289e-01
1.925132444208948755e+03 8.211033440323567412e-01
1.925138980796423311e+03 8.229345927921704051e-01
1.925145562107366459e+03 8.249609376785618231e-01
1.925152008988224679e+03 8.272057708580397017e-01
1.925158649576426797e+03 8.296275647178288359e-01
1.925165126236729293e+03 8.320996010376852103e-01
1.925171646886115923e+03 8.344585047953901880e-01
1.925178243027075496e+03 8.366041508694471718e-01
1.925184689446824223e+03 8.385216799679682254e-01
