1.821317475150000064e+03 4.677388378517767231e-01
1.821326581760142290e+03 4.596295097435386112e-01
1.821335688415817458e+03 4.481600400596292832e-01
1.821344795117026479e+03 4.338669883428255547e-01
1.821353901863768897e+03 4.172506346675309841e-01
1.821363008656045395e+03 3.985035599265723816e-01
1.821372115493855517e+03 3.775360130928244740e-01
1.821381222377200402e+03 3.541195919830475436e-01
1.821390329306079593e+03 3.280551955011917764e-01
1.821399436280493546e+03 2.992633322031907350e-01
1.821408543300442489e+03 2.677904629673366621e-01
1.821417650365926647e+03 2.338584701169067470e-01
1.821426757476946250e+03 1.979881948740386810e-01
1.821435864633501069e+03 1.611127121232582837e-01
1.821444971835592241e+03 1.246443071978457773e-01
1.821454079083219540e+03 9.044107860628466944e-02
1.821463186376383419e+03 6.055113957843743372e-02
1.821472293715083651e+03 3.670297429870834904e-02
1.821481401099320692e+03 1.971939298631090673e-02
1.821490508529094541e+03 9.180045372982455210e-03
1.821499616004406107e+03 3.617659105856295149e-03
1.821508723525254936e+03 1.179971313261158478e-03
1.821517831091641483e+03 3.122889368309626074e-04
1.821526938703565975e+03 6.596269164861835916e-05
1.821536046361028411e+03 1.109800805458044804e-05
1.821545154064029248e+03 3.220696260791419219e-06
1.821554261812569166e+03 1.412904304078044601e-05
1.821563369606647484e+03 8.133963869868609078e-05
1.821572477446265339e+03 3.697245719043407652e-04
1.821581585331422048e+03 1.341756610527994418e-03
1.821590693262118748e+03 3.967786201970269558e-03
1.821599801238354758e+03 9.764040512813168537e-03
1.821608909260131213e+03 2.043103957931753992e-02
1.821618017327447660e+03 3.717231810143998422e-02
1.821627125440304326e+03 6.013609483463621536e-02
1.821636233598702120e+03 8.834416563157125590e-02
1.821645341802640360e+03 1.200708604516683431e-01
1.821654450052120183e+03 1.533776265975302089e-01
1.821663558347141134e+03 1.865262585162801301e-01
1.821672666687703668e+03 2.181309362956174169e-01
1.821681775073808240e+03 2.471130985090690957e-01
1.821690883505454622e+03 2.726770084966371743e-01
1.821699991982643041e+03 2.943553234007486030e-01
1.821709100505374408e+03 3.119385436564937053e-01
1.821718209073648268e+03 3.251692716966281260e-01
1.821727317687465074e+03 3.333925216825531779e-01
1.821736426346825056e+03 3.356161230381532468e-01
1.821745535051728893e+03 3.314149648633982759e-01
